央视频道,#genre#
CCTV1综合,http://218.29.55.44:808/hls/1/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV1综合,http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.137.49.76:8080/PLTV/88888888/224/3221225618/index.m3u8?
CCTV1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1综合,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1综合,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225573/2/index.m3u8?fmt=ts2hls
CCTV1综合,http://39.134.115.163:8080/TVOD/88888910/224/3221225642/index.m3u8
CCTV1综合,http://39.134.115.163:8080/TVOD/88888910/224/3221225618/index.m3u8
